PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue
1,4,Complete,258,1580,3,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,201.04,16.0832,5.026,222.1492
2,4,Pending,254,1496,5,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,272.1015,21.7681,6.8025,300.6721
3,4,Complete,257,1494,2,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,8847.3,707.784,221.1825,9776.2665
4,4,Rejected,261,1650,5,2011-04-16 00:00:00.000,2011-04-25 00:00:00.000,171.0765,13.6861,4.2769,189.0395
5,4,Complete,251,1654,4,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,20397.3,1631.784,509.9325,22539.0165
6,4,Complete,253,1664,3,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,14628.075,1170.246,365.7019,16164.0229
7,4,Complete,255,1678,3,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,58685.55,4694.844,1467.1388,64847.5328
8,4,Complete,256,1616,5,2011-04-30 00:00:00.000,2011-05-09 00:00:00.000,693.378,55.4702,17.3345,766.1827
9,5,Complete,259,1492,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,694.1655,55.5332,17.3541,767.0528
10,4,Complete,250,1602,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,1796.0355,143.6828,44.9009,1984.6192
11,4,Complete,258,1540,4,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,501.1965,40.0957,12.5299,553.8221
12,4,Complete,254,1628,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,34644.225,2771.538,866.1056,38281.8686
13,4,Complete,257,1604,4,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,1839.5055,147.1604,45.9876,2032.6535
14,4,Rejected,261,1690,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,146.286,11.7029,3.6572,161.6461
15,4,Complete,251,1566,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,102.564,8.2051,2.5641,113.3332
16,4,Complete,253,1698,5,2011-12-14 00:00:00.000,2011-12-23 00:00:00.000,150.7905,12.0632,3.7698,166.6235
